sensor;distancia
631;10
933;15
1221;20
1458;25
1730;30
2096;35
2310;40
2570;45
2869;50
3146;55
3431;60
665;10
915;15
1262;20
1498;25
1776;30
2029;35
2377;40
2593;45
2879;50
3166;55
3445;60
699;10
914;15
1279;20
1498;25
1744;30
2030;35
2310;40
2648;45
2875;50
3146;55
3429;60
579;10
933;15
1221;20
1458;25
1715;30
2016;35
2350;40
2600;45
2877;50
3136;55
3421;60
631;10
915;15
1228;20
1508;25
1730;30
2081;35
2337;40
2573;45
2839;50
3115;55
3447;60
