sensor1;sensor2;distancia
646;631;10
956;933;15
1224;1221;20
1470;1458;25
1790;1730;30
2066;2096;35
2331;2310;40
2616;2570;45
2937;2869;50
3190;3146;55
3490;3431;60
650;665;10
959;915;15
1199;1262;20
1495;1498;25
1745;1776;30
2062;2029;35
2337;2377;40
2609;2593;45
2915;2879;50
3245;3166;55
3523;3445;60
636;699;10
956;914;15
1237;1279;20
1498;1498;25
1777;1744;30
2100;2030;35
2355;2310;40
2660;2648;45
2915;2875;50
3249;3146;55
3493;3429;60
649;579;10
980;933;15
1209;1221;20
1520;1458;25
1839;1715;30
2083;2016;35
2347;2350;40
2619;2600;45
2922;2877;50
3217;3136;55
3504;3421;60
649;631;10
650;915;15
651;1228;20
652;1508;25
653;1730;30
654;2081;35
655;2337;40
656;2573;45
657;2839;50
658;3115;55
659;3447;60
