sensor1;sensor2;sensor3;distancia;tp
1629;5596;1682;24;concava
2229;2120;2164;34;concava
2791;7839;2692;44;concava
3226;3374;3207;54;concava
3857;3920;3773;64;concava
4386;4348;4319;74;concava
4995;4041;4893;84;concava
1655;1656;1681;24;concava
2271;2071;2054;34;concava
2797;7930;2639;44;concava
3236;3414;3217;54;concava
3816;3946;2959;64;concava
4431;4404;3241;74;concava
5000;4960;4936;84;concava
1656;8279;1500;24;concava
2218;2074;2136;34;concava
2711;2787;2670;44;concava
3244;3389;3202;54;concava
3842;3919;3764;64;concava
4396;4428;4329;74;concava
4989;5015;4918;84;concava
1625;1711;1569;24;concava
2131;2091;2069;34;concava
2694;2861;2639;44;concava
3196;3432;3216;54;concava
3850;3898;3756;64;concava
4385;4406;4322;74;concava
5004;4974;4917;84;concava
1593;3129;1620;24;concava
2083;2070;2133;34;concava
2734;2732;2639;44;concava
3218;3331;3217;54;concava
3801;3916;3772;64;concava
4363;4381;4324;74;concava
4966;5060;4934;84;concava
1631;1627;1551;24;concava
2270;2150;2163;34;concava
2682;2777;2662;44;concava
3226;3384;3217;54;concava
3772;3797;3757;64;concava
4385;4376;4325;74;concava
4947;4935;4897;84;concava
1632;1643;1500;24;concava
2110;2192;2056;34;concava
2665;2763;2720;44;concava
3194;3281;3216;54;concava
3826;3926;3738;64;concava
4374;4462;4370;74;concava
4982;4054;4976;84;concava
1499;1500;1511;24;plana
2044;2077;2041;34;plana
2688;2672;2633;44;plana
3186;3212;3197;54;plana
3760;3796;3766;64;plana
4344;4319;4345;74;plana
4938;4914;4925;84;plana
1515;1502;1509;24;plana
2070;2049;2104;34;plana
2688;26116;2627;44;plana
3185;3191;3197;54;plana
3761;3766;3788;64;plana
4337;4312;4340;74;plana
4936;4893;4924;84;plana
1492;1472;1477;24;plana
2104;2049;2041;34;plana
2636;2637;2635;44;plana
3166;3184;3201;54;plana
3784;3794;3758;64;plana
4335;4319;4350;74;plana
4922;4946;4952;84;plana
1492;1476;1511;24;plana
2043;2053;2042;34;plana
2630;2638;2650;44;plana
3161;3208;3208;54;plana
3794;3769;3773;64;plana
4347;4334;4355;74;plana
4938;4896;4930;84;plana
1509;1474;1511;24;plana
2110;2042;2027;34;plana
2694;2617;2627;44;plana
3175;3188;3225;54;plana
3760;3770;3756;64;plana
4355;4316;4343;74;plana
4931;4948;4929;84;plana
1549;1472;1517;24;plana
2041;2028;2042;34;plana
2630;2638;2627;44;plana
3185;3215;3191;54;plana
3766;33766;3782;64;plana
4334;4337;4348;74;plana
4927;4882;4918;84;plana
1478;1562;1641;24;plana
2150;2056;2041;34;plana
2636;2662;2626;44;plana
3193;3198;3208;54;plana
3768;3779;3764;64;plana
4366;4368;4350;74;plana
4922;4913;4946;84;plana
1632;1562;1631;24;convexa
2070;2087;2122;34;convexa
2711;2825;2733;44;convexa
3209;3274;3224;54;convexa
3823;3922;3855;64;convexa
4386;4565;4379;74;convexa
4983;5014;4992;84;convexa
1616;1586;1676;24;convexa
2137;2111;2122;34;convexa
2623;2794;2166;44;convexa
3178;3312;3216;54;convexa
3793;3870;3822;64;convexa
4369;4419;4375;74;convexa
5031;5122;5007;84;convexa
1796;1530;1551;24;convexa
2043;2215;2204;34;convexa
2728;2822;2686;44;convexa
3186;3267;3225;54;convexa
3791;3946;3647;64;convexa
4389;4542;4391;74;convexa
4988;5051;4982;84;convexa
1686;1589;1567;24;convexa
2123;2191;2204;34;convexa
2710;2725;2731;44;convexa
3194;3270;3224;54;convexa
3798;3873;3798;64;convexa
4365;4423;4376;74;convexa
5014;5114;5020;84;convexa
1631;1533;1675;24;convexa
2056;2112;2079;34;convexa
2653;2804;2709;44;convexa
3223;3195;3268;54;convexa
3792;4040;3819;64;convexa
4365;4541;4365;74;convexa
4985;5165;5041;84;convexa
1616;1531;1630;24;convexa
2096;2111;2068;34;convexa
2665;2700;2674;44;convexa
3201;3288;3232;54;convexa
3818;3877;3789;64;convexa
4368;4518;4371;74;convexa
4987;5042;5044;84;convexa
1730;1534;1562;24;convexa
2097;2168;2081;34;convexa
2694;2710;2674;44;convexa
3193;3386;3224;54;convexa
3871;3964;3788;64;convexa
4374;4479;4406;74;convexa
4998;5116;5007;84;convexa
